0       FS_Init
1       FS_DeInit
2       FS_Mount                            pVolumeName=%s
3       FS_MountEx                          pVolumeName=%s MountType=%d
4       FS_SetAutoMount                     pVolumeName=%s MountType=%d
5       FS_Sync                             pVolumeName=%s
6       FS_Unmount                          pVolumeName=%s
7       FS_UnmountForced                    pVolumeName=%s
8       FS_AddDevice                        pDevType=%p
9       FS_AddPhysDevice                    pDevType=%p
10      FS_AssignMemory                     pMem=%p NumBytes=%u
11      FS_ConfigFileBufferDefault          BufferSize=%u Flags=%p
12      FS_ConfigOnWriteDirUpdate           OnOff=%u
13      FS_LOGVOL_Create                    pVolumeName=%s
14      FS_LOGVOL_AddDevice                 pVolumeName=%s pDevice=%p Unit=%u StartOff=%u NumSectors=%u
15      FS_SetFileBufferFlags               pFile=%p Flags=%p
16      FS_SetFileWriteMode                 WriteMode=%u
17      FS_SetFileWriteModeEx               WriteMode=%u pVolumeName=%s
18      FS_SetMemHandler                    pfAlloc=%p pfFree=%p
19      FS_SetMaxSectorSize                 MaxSectorSize=%u
20      FS_FClose                           pFile=%p
21      FS_FOpen                            pFileName=%s pMode=%s
22      FS_FOpenEx                          pFileName=%s pMode=%s pFile=%p
23      FS_FRead                            pData=%p BytesPerItem=%u NumItems=%u pFile=%p
24      FS_FWrite                           pData=%p BytesPerItem=%u NumItems=%u pFile=%p
25      FS_Read                             pFile=%p pData=%p NumBytes=%u
26      FS_SyncFile                         pFile=%p
27      FS_Write                            pFile=%p pData=%p NumBytes=%u
28      FS_FSeek                            pFile=%p Offset=%d Origin=%u
29      FS_FTell                            pFile=%p
30      FS_CopyFile                         pFileNameSrc=%s pFileNameDest=%s
31      FS_CopyFileEx                       pFileNameSrc=%s pFileNameDest=%s pBuffer=%p NumBytes=%u
32      FS_GetFileAttributes                pName=%s
33      FS_GetFileTime                      pName=%s TimeStamp=%p
34      FS_GetFileTimeEx                    pName=%s TimeStamp=%p Type=%u
35      FS_ModifyFileAttributes             pName=%s MaskSet=%p MaskClr=%p
36      FS_Move                             pExistingName=%s pNewName=%s
37      FS_Remove                           pName=%s
38      FS_Rename                           pExistingName=%s pNewName=%s
39      FS_SetEndOfFile                     pFile=%p
40      FS_SetFileAttributes                pName=%s Attr=%u
41      FS_SetFileTime                      pName=%s TimeStamp=%p
42      FS_SetFileTimeEx                    pName=%s TimeStamp=%p Type=%u
43      FS_SetFileSize                      pFile=%p NumBytes=%u
44      FS_Truncate                         pFile=%p NumBytes=%u
45      FS_Verify                           pFile=%p pData=%p NumBytes=%u
46      FS_WipeFile                         pFileName=%s
47      FS_CreateDir                        pDirPath=%s
48      FS_FindClose                        pfd=%p
49      FS_FindFirstFile                    pfd=%p pPath=%s pFileName=%s SizeofFileName=%u
50      FS_FindNextFile                     pfd=%p
51      FS_MkDir                            pDirName=%s
52      FS_RmDir                            pDirName=%s
53      FS_Format                           pVolumeName=%s pFormatInfo=%p
54      FS_FormatLLIfRequired               pVolumeName=%s
55      FS_FormatLow                        pVolumeName=%s
56      FS_IsHLFormatted                    pVolumeName=%s
57      FS_IsLLFormatted                    pVolumeName=%s
58      FS_CheckDisk                        pVolumeName=%s pBuffer=%p BufferSize=%u MaxRecursionLevel=%u
59      FS_CheckDisk_ErrCode2Text           ErrCode=%u
60      FS_CreateMBR                        pVolumeName=%s pPartInfo=%p NumPartitions=%u
61      FS_FileTimeToTimeStamp              pFileTime=%p pTimeStamp=%p
62      FS_FreeSectors                      pVolumeName=%s
63      FS_GetFileSize                      pFile=%p
64      FS_GetMaxSectorSize
65      FS_GetNumFilesOpen
66      FS_GetNumVolumes
67      FS_GetPartitionInfo                 pVolumeName=%s pPartInfo=%p PartIndex=%u
68      FS_GetVolumeFreeSpace               pVolumeName=%s
69      FS_GetVolumeFreeSpaceKB             pVolumeName=%s
70      FS_GetVolumeInfo                    pVolumeName=%s pInfo=%p
71      FS_GetVolumeInfoEx                  pVolumeName=%s pInfo=%p Flags=%p
72      FS_GetVolumeLabel                   pVolumeName=%s pVolumeLabel=%p VolumeLabelSize=%u
73      FS_GetVolumeName                    Index=%u pBuffer=%p BufferSize=%u
74      FS_GetVolumeSize                    pVolumeName=%s
75      FS_GetVolumeSizeKB                  pVolumeName=%s
76      FS_GetVolumeStatus                  pVolumeName=%s
